acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,popularity,artist,Genre
0.047,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,0.643,163870,0.783,7iDa6hUg2VgEL1o1HjmfBn,0,10,0.083,-6.458,1,0.0856,154.084,4,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,audio_features,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,0.566,79,Bebe Rexha,Pop
0.121,https://api.spotify.com/v1/audio-analysis/6yf3MxEOScNBTYCHOAIiNQ,0.764,165467,0.932,6yf3MxEOScNBTYCHOAIiNQ,0,9,0.103,-3.059,0,0.189,121.046,4,https://api.spotify.com/v1/tracks/6yf3MxEOScNBTYCHOAIiNQ,audio_features,spotify:track:6yf3MxEOScNBTYCHOAIiNQ,0.892,78,Jax Jones,Pop
0.00413,https://api.spotify.com/v1/audio-analysis/6eUncuJutsFi9BGO1JaBHh,0.897,212014,0.634,6eUncuJutsFi9BGO1JaBHh,0,4,0.0686,-6.264,0,0.161,112.048,4,https://api.spotify.com/v1/tracks/6eUncuJutsFi9BGO1JaBHh,audio_features,spotify:track:6eUncuJutsFi9BGO1JaBHh,0.506,85,Jason Derulo,Pop
0.154,https://api.spotify.com/v1/audio-analysis/3zoYkqS4y2BsGVShPL2nTE,0.527,188797,0.907,3zoYkqS4y2BsGVShPL2nTE,0,4,0.0993,-3.09,0,0.11,93.813,4,https://api.spotify.com/v1/tracks/3zoYkqS4y2BsGVShPL2nTE,audio_features,spotify:track:3zoYkqS4y2BsGVShPL2nTE,0.664,100,French Montana,Pop
0.0293,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,0.726,233902,0.769,3B54sVLJ402zGa6Xm4YGNe,0.0101,6,0.104,-5.043,1,0.123,97.985,4,https://api.spotify.com/v1/tracks/3B54sVLJ402zGa6Xm4YGNe,audio_features,spotify:track:3B54sVLJ402zGa6Xm4YGNe,0.75,89,CNCO,Pop
0.162,https://api.spotify.com/v1/audio-analysis/4Ux0Y0eQYv4HJPvuxioosx,0.652,156000,0.595,4Ux0Y0eQYv4HJPvuxioosx,0,6,0.148,-6.944,0,0.0419,77.538,4,https://api.spotify.com/v1/tracks/4Ux0Y0eQYv4HJPvuxioosx,audio_features,spotify:track:4Ux0Y0eQYv4HJPvuxioosx,0.303,72,R3HAB,Pop
0.23,https://api.spotify.com/v1/audio-analysis/762UXiwEHYY97VL45sAUPR,0.542,194907,0.654,762UXiwEHYY97VL45sAUPR,0,8,0.241,-5.862,0,0.0537,144.971,4,https://api.spotify.com/v1/tracks/762UXiwEHYY97VL45sAUPR,audio_features,spotify:track:762UXiwEHYY97VL45sAUPR,0.564,89,David Guetta,Pop
0.0294,https://api.spotify.com/v1/audio-analysis/0ZiRSqlSsDlY0UyDYU9CTE,0.66,157080,0.745,0ZiRSqlSsDlY0UyDYU9CTE,0.0002,7,0.0831,-5.499,1,0.0307,130.074,4,https://api.spotify.com/v1/tracks/0ZiRSqlSsDlY0UyDYU9CTE,audio_features,spotify:track:0ZiRSqlSsDlY0UyDYU9CTE,0.796,82,Thomas Rhett,Pop
0.00683,https://api.spotify.com/v1/audio-analysis/0tKcYR2II1VCQWT79i5NrW,0.6,187147,0.81,0tKcYR2II1VCQWT79i5NrW,0.21,0,0.155,-4.749,1,0.0479,167.88,4,https://api.spotify.com/v1/tracks/0tKcYR2II1VCQWT79i5NrW,audio_features,spotify:track:0tKcYR2II1VCQWT79i5NrW,0.252,95,Imagine Dragons,Pop
0.111,https://api.spotify.com/v1/audio-analysis/1E2ePlJmijVSX0o1G9TFgR,0.795,275080,0.594,1E2ePlJmijVSX0o1G9TFgR,0,0,0.162,-6.2,1,0.0747,135.002,4,https://api.spotify.com/v1/tracks/1E2ePlJmijVSX0o1G9TFgR,audio_features,spotify:track:1E2ePlJmijVSX0o1G9TFgR,0.404,96,21 Savage,Pop
0.0151,https://api.spotify.com/v1/audio-analysis/5eqK0tbzUPo2SoeZsov04s,0.884,220307,0.346,5eqK0tbzUPo2SoeZsov04s,0.00000704,8,0.0871,-8.228,0,0.351,75.016,4,https://api.spotify.com/v1/tracks/5eqK0tbzUPo2SoeZsov04s,audio_features,spotify:track:5eqK0tbzUPo2SoeZsov04s,0.378,66,SZA,Pop
0.128,https://api.spotify.com/v1/audio-analysis/47OVNnZJzIkrsEiZ4n187p,0.747,184134,0.799,47OVNnZJzIkrsEiZ4n187p,0,11,0.0541,-4.066,0,0.0405,104.02,4,https://api.spotify.com/v1/tracks/47OVNnZJzIkrsEiZ4n187p,audio_features,spotify:track:47OVNnZJzIkrsEiZ4n187p,0.537,81,Jonas Blue,Pop
0.617,https://api.spotify.com/v1/audio-analysis/2eAZfqOm4EnOF9VvN50Tyc,0.703,221747,0.757,2eAZfqOm4EnOF9VvN50Tyc,0,1,0.106,-3.612,1,0.05,82.008,4,https://api.spotify.com/v1/tracks/2eAZfqOm4EnOF9VvN50Tyc,audio_features,spotify:track:2eAZfqOm4EnOF9VvN50Tyc,0.696,89,Lil Uzi Vert,Pop
0.105,https://api.spotify.com/v1/audio-analysis/74ODGXs4byLTRdnKGM4s6E,0.754,203650,0.458,74ODGXs4byLTRdnKGM4s6E,0,8,0.249,-6.852,1,0.144,96.011,4,https://api.spotify.com/v1/tracks/74ODGXs4byLTRdnKGM4s6E,audio_features,spotify:track:74ODGXs4byLTRdnKGM4s6E,0.484,84,LANY,Pop
0.0323,https://api.spotify.com/v1/audio-analysis/4q8PHoRsPUB52LFylX8Ulz,0.645,203000,0.741,4q8PHoRsPUB52LFylX8Ulz,0,5,0.29,-4.989,0,0.0339,123.07,4,https://api.spotify.com/v1/tracks/4q8PHoRsPUB52LFylX8Ulz,audio_features,spotify:track:4q8PHoRsPUB52LFylX8Ulz,0.507,95,Axwell /\ Ingrosso,Pop
0.158,https://api.spotify.com/v1/audio-analysis/4c2W3VKsOFoIg2SFaO6DY5,0.855,180757,0.624,4c2W3VKsOFoIg2SFaO6DY5,0,1,0.0513,-4.093,1,0.0488,117.959,4,https://api.spotify.com/v1/tracks/4c2W3VKsOFoIg2SFaO6DY5,audio_features,spotify:track:4c2W3VKsOFoIg2SFaO6DY5,0.962,94,Rita Ora,Pop
0.0969,https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv,0.774,211475,0.626,4iLqG9SeJSnt0cSPICSjxv,0.0000312,3,0.0848,-4.432,0,0.0432,100.041,4,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv,audio_features,spotify:track:4iLqG9SeJSnt0cSPICSjxv,0.758,99,Charlie Puth,Pop
0.0793,https://api.spotify.com/v1/audio-analysis/6YVpU5vVxezJCYeQUxIkRT,0.795,199849,0.611,6YVpU5vVxezJCYeQUxIkRT,0.00000304,5,0.0853,-5.224,0,0.0711,110.016,4,https://api.spotify.com/v1/tracks/6YVpU5vVxezJCYeQUxIkRT,audio_features,spotify:track:6YVpU5vVxezJCYeQUxIkRT,0.404,0,Lorde,Pop
0.254,https://api.spotify.com/v1/audio-analysis/7rdUtXasA973gmrr2Xxh3E,0.615,214255,0.547,7rdUtXasA973gmrr2Xxh3E,0,0,0.171,-5.086,0,0.152,106.688,4,https://api.spotify.com/v1/tracks/7rdUtXasA973gmrr2Xxh3E,audio_features,spotify:track:7rdUtXasA973gmrr2Xxh3E,0.167,86,Maroon 5,Pop
0.256,https://api.spotify.com/v1/audio-analysis/7vGuf3Y35N4wmASOKLUVVU,0.52,180823,0.761,7vGuf3Y35N4wmASOKLUVVU,0.00000496,4,0.17,-3.093,1,0.0853,141.971,4,https://api.spotify.com/v1/tracks/7vGuf3Y35N4wmASOKLUVVU,audio_features,spotify:track:7vGuf3Y35N4wmASOKLUVVU,0.266,97,Marshmello,Pop
0.162,https://api.spotify.com/v1/audio-analysis/4Ux0Y0eQYv4HJPvuxioosx,0.652,156000,0.595,4Ux0Y0eQYv4HJPvuxioosx,0,6,0.148,-6.944,0,0.0419,77.538,4,https://api.spotify.com/v1/tracks/4Ux0Y0eQYv4HJPvuxioosx,audio_features,spotify:track:4Ux0Y0eQYv4HJPvuxioosx,0.303,72,R3HAB,Pop
0.618,https://api.spotify.com/v1/audio-analysis/7oAraczbemGSNWqnbkU87R,0.515,201000,0.378,7oAraczbemGSNWqnbkU87R,0,5,0.172,-8.264,1,0.065,91.883,4,https://api.spotify.com/v1/tracks/7oAraczbemGSNWqnbkU87R,audio_features,spotify:track:7oAraczbemGSNWqnbkU87R,0.536,75,R3HAB,Pop
0.255,https://api.spotify.com/v1/audio-analysis/1PM8OIREXRl5lFb06852rr,0.718,160286,0.681,1PM8OIREXRl5lFb06852rr,0.0000188,5,0.208,-4.593,0,0.0361,139.99,4,https://api.spotify.com/v1/tracks/1PM8OIREXRl5lFb06852rr,audio_features,spotify:track:1PM8OIREXRl5lFb06852rr,0.365,85,Sam Smith,Pop
0.36,https://api.spotify.com/v1/audio-analysis/0Clb9aiXWa0dvVff5aN4VN,0.775,184909,0.597,0Clb9aiXWa0dvVff5aN4VN,0,5,0.156,-5.666,1,0.159,122.069,4,https://api.spotify.com/v1/tracks/0Clb9aiXWa0dvVff5aN4VN,audio_features,spotify:track:0Clb9aiXWa0dvVff5aN4VN,0.532,59,Hedley,Pop
0.379,https://api.spotify.com/v1/audio-analysis/1T5YN3coSTm6uTfCC2WXVo,0.605,223787,0.736,1T5YN3coSTm6uTfCC2WXVo,0,0,0.0549,-4.363,1,0.0751,96.007,4,https://api.spotify.com/v1/tracks/1T5YN3coSTm6uTfCC2WXVo,audio_features,spotify:track:1T5YN3coSTm6uTfCC2WXVo,0.648,88,Taylor Swift,Pop
0.0665,https://api.spotify.com/v1/audio-analysis/7zgqtptZvhf8GEmdsM2vp2,0.615,208198,0.779,7zgqtptZvhf8GEmdsM2vp2,0,2,0.155,-6.454,1,0.135,160,4,https://api.spotify.com/v1/tracks/7zgqtptZvhf8GEmdsM2vp2,audio_features,spotify:track:7zgqtptZvhf8GEmdsM2vp2,0.453,82,Astrid S,Pop
0.047,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,0.643,163870,0.783,7iDa6hUg2VgEL1o1HjmfBn,0,10,0.083,-6.458,1,0.0856,154.084,4,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,audio_features,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,0.566,79,Bebe Rexha,Pop
0.478,https://api.spotify.com/v1/audio-analysis/74WO7vLynAEE2paZdck6bO,0.579,214138,0.681,74WO7vLynAEE2paZdck6bO,0.0000267,0,0.306,-6.381,1,0.073,97.716,4,https://api.spotify.com/v1/tracks/74WO7vLynAEE2paZdck6bO,audio_features,spotify:track:74WO7vLynAEE2paZdck6bO,0.549,72,Chelsea Cutler,Pop
0.0278,https://api.spotify.com/v1/audio-analysis/7oG8dB8IfD6G3G6Xs74ViW,0.321,236987,0.59,7oG8dB8IfD6G3G6Xs74ViW,0,6,0.144,-5.407,1,0.0704,71.96,4,https://api.spotify.com/v1/tracks/7oG8dB8IfD6G3G6Xs74ViW,audio_features,spotify:track:7oG8dB8IfD6G3G6Xs74ViW,0.257,76,Demi Lovato,Pop
0.358,https://api.spotify.com/v1/audio-analysis/5GT8b1dFaOWFF5twsmSOYx,0.595,175061,0.608,5GT8b1dFaOWFF5twsmSOYx,0,5,0.0843,-5.303,0,0.0373,60.878,4,https://api.spotify.com/v1/tracks/5GT8b1dFaOWFF5twsmSOYx,audio_features,spotify:track:5GT8b1dFaOWFF5twsmSOYx,0.451,66,Nina Nesbitt,Pop
0.213,https://api.spotify.com/v1/audio-analysis/4G6eGrUJpmBViXaqLqS1TK,0.533,225423,0.599,4G6eGrUJpmBViXaqLqS1TK,0,8,0.0878,-6.405,1,0.3,96.764,4,https://api.spotify.com/v1/tracks/4G6eGrUJpmBViXaqLqS1TK,audio_features,spotify:track:4G6eGrUJpmBViXaqLqS1TK,0.682,69,Marc E. Bassy,Pop
0.0646,https://api.spotify.com/v1/audio-analysis/6JsfvqClYnc2R5yZ67C2ch,0.632,217793,0.805,6JsfvqClYnc2R5yZ67C2ch,0.0000583,0,0.161,-5.188,1,0.045,93.009,4,https://api.spotify.com/v1/tracks/6JsfvqClYnc2R5yZ67C2ch,audio_features,spotify:track:6JsfvqClYnc2R5yZ67C2ch,0.454,75,A R I Z O N A,Pop
0.00413,https://api.spotify.com/v1/audio-analysis/6eUncuJutsFi9BGO1JaBHh,0.897,212014,0.634,6eUncuJutsFi9BGO1JaBHh,0,4,0.0686,-6.264,0,0.161,112.048,4,https://api.spotify.com/v1/tracks/6eUncuJutsFi9BGO1JaBHh,audio_features,spotify:track:6eUncuJutsFi9BGO1JaBHh,0.506,85,Jason Derulo,Pop
0.0672,https://api.spotify.com/v1/audio-analysis/2771LMNxwf62FTAdpJMQfM,0.929,223962,0.723,2771LMNxwf62FTAdpJMQfM,0,11,0.346,-5.792,0,0.109,125.022,4,https://api.spotify.com/v1/tracks/2771LMNxwf62FTAdpJMQfM,audio_features,spotify:track:2771LMNxwf62FTAdpJMQfM,0.468,94,Cardi B,Pop
0.15,https://api.spotify.com/v1/audio-analysis/09REe2KMAdi2XMPohJ8ZTA,0.509,197587,0.577,09REe2KMAdi2XMPohJ8ZTA,0.000017,0,0.168,-6.909,1,0.0468,149.965,4,https://api.spotify.com/v1/tracks/09REe2KMAdi2XMPohJ8ZTA,audio_features,spotify:track:09REe2KMAdi2XMPohJ8ZTA,0.331,65,Caroline Pennell,Pop
0.144,https://api.spotify.com/v1/audio-analysis/75hxLeRF6ykQcE55Lvp2ka,0.672,179427,0.755,75hxLeRF6ykQcE55Lvp2ka,0,1,0.502,-3.54,0,0.11,91.996,4,https://api.spotify.com/v1/tracks/75hxLeRF6ykQcE55Lvp2ka,audio_features,spotify:track:75hxLeRF6ykQcE55Lvp2ka,0.356,75,Rachel Platten,Pop
0.617,https://api.spotify.com/v1/audio-analysis/2eAZfqOm4EnOF9VvN50Tyc,0.703,221747,0.757,2eAZfqOm4EnOF9VvN50Tyc,0,1,0.106,-3.612,1,0.05,82.008,4,https://api.spotify.com/v1/tracks/2eAZfqOm4EnOF9VvN50Tyc,audio_features,spotify:track:2eAZfqOm4EnOF9VvN50Tyc,0.696,89,Lil Uzi Vert,Pop
0.611,https://api.spotify.com/v1/audio-analysis/6y6jbcPG4Yn3Du4moXaenr,0.63,245172,0.5,6y6jbcPG4Yn3Du4moXaenr,0.0000404,1,0.114,-8.755,0,0.0611,144.871,4,https://api.spotify.com/v1/tracks/6y6jbcPG4Yn3Du4moXaenr,audio_features,spotify:track:6y6jbcPG4Yn3Du4moXaenr,0.321,82,Blackbear,Pop
0.00128,https://api.spotify.com/v1/audio-analysis/1okBYMGQjaJ4Hzz1xZfA3N,0.596,171013,0.789,1okBYMGQjaJ4Hzz1xZfA3N,0,1,0.0981,-5.585,0,0.045,111.034,4,https://api.spotify.com/v1/tracks/1okBYMGQjaJ4Hzz1xZfA3N,audio_features,spotify:track:1okBYMGQjaJ4Hzz1xZfA3N,0.399,62,Maty Noyes,Pop
